Nro,Nodo,Coord_X,Coord_Y,Tipo_Nodos
91,91,213484.0938,2173594,NP
92,92,214516.1875,2171004.5,NS
93,93,216983.9531,2162905,NS
94,94,215790.7969,2166602,NP
95,95,215669.5469,2167508.5,NS
96,96,215548.2969,2168415,NP
97,97,217564.8438,2161954,NS
98,98,219550,2153884,NP
99,99,219364.1563,2157593.5,NS
100,100,218945.9531,2159355.5,NS
101,101,217729.9063,2165484.5,NS
102,102,220525.9063,2154069.5,NS
103,103,217232.3438,2167743.5,NS
104,104,217111.0938,2168650,NS
105,105,215754.6563,2174359,NS
106,106,216786.75,2171769.5,NS
107,107,221501.7969,2154255,NP
108,108,220990.5938,2156527,NS
109,109,219669,2164367,NP
110,110,215607.2031,2177595,NP
111,111,219171.4531,2166626,NS
112,112,218673.9063,2168885,NP
113,113,216816.2031,2176359.5,NS
114,114,221966.5,2156712.5,NS
115,115,221050.0938,2161768.5,NS
116,116,218349.5625,2172004.5,NS
117,117,216757.25,2178978.5,NS
118,118,218025.2031,2175124,NP
119,119,222431.2031,2159170,NP
120,120,221346.9063,2165343,NS
121,121,217966.25,2177743,NS
122,122,219823.9531,2170739,NS
123,123,224336.4375,2154232,NS
124,124,220849.3438,2167602,NS
125,125,219499.5938,2173858.5,NS
126,126,222412.6563,2163906.5,NS
127,127,217907.2969,2180362,NP
128,128,222094.5,2164896.5,NS
129,129,224801.1563,2156689.5,NS
130,130,223793.75,2161308,NS
131,131,220974,2172593,NP
132,132,221999.4063,2169456,NS
133,133,220770.5938,2174931.5,NS
134,134,223024.7969,2166319,NP
135,135,220711.6563,2177550.5,NS
136,136,225707.3125,2159054.5,NS
137,137,227171.0938,2154209,NP
138,138,222245,2173666,NS
139,139,220433.1563,2181091.5,NS
140,140,222637.4531,2172286,NS
141,141,223772.4063,2165872.5,NS
142,142,225156.2969,2163446,NP
143,143,223662.8438,2169149,NS
144,144,224887.4063,2167266.5,NS
145,145,224838.1563,2164436,NS
146,146,226343.6563,2164129.5,NS
147,147,224520,2165426,NP
148,148,228077.25,2156574,NS
149,149,223516,2174739,NP
150,150,223908.4531,2173359,NS
151,151,224300.9063,2171979,NP
152,152,227069.8438,2161192.5,NS
153,153,226025.5,2165119.5,NS
154,154,225635,2166820,NS
155,155,225525.4531,2170096.5,NS
156,156,223237.5,2178280,NS
157,157,227531,2164813,NP
158,158,229554.0469,2153683.5,NS
159,159,226750,2168214,NP
160,160,228257.2031,2161876,NS
161,161,222959,2181821,NP
162,162,225650.75,2171474,NS
163,163,224297,2176188.5,NS
164,164,228983.4063,2158939,NP
165,165,224689.4531,2174808.5,NS
166,166,226875.2969,2169591.5,NS
167,167,225834.8125,2172882,NS
168,168,224018.5,2179729.5,NS
169,169,230460.2031,2156048.5,NS
170,170,229070.4063,2163290,NS
171,171,227000.5938,2170969,NP
172,172,229796.5938,2160353,NS
173,173,227605.7969,2167148.5,NS
174,174,224877.25,2180263,NS
175,175,225078,2177638,NP
176,176,231937,2153158,NP
177,177,227184.6563,2172377,NS
178,178,229111.2969,2166842,NS
179,179,228720.7969,2168542.5,NS
180,180,226223.3438,2175711.5,NS
181,181,225936.75,2178171.5,NS
182,182,231386.7031,2158349,NS
183,183,227368.7031,2173785,NP
184,184,230609.7969,2161767,NP
185,185,228074.3438,2172071,NS
186,186,228846.0938,2169920,NS
187,187,226795.5,2178705,NP
188,188,232863.5,2155458.5,NS
189,189,228258.4063,2173479,NS
190,190,230650.6875,2165319,NS
191,191,232199.9063,2159763,NS
192,192,226671.3438,2182543,NS
193,193,227169,2177945,NS
194,194,229148.0938,2173173,NP
195,195,232120.0938,2161744,NS
196,196,229919.8438,2171022,NS
197,197,228314.3438,2176018.5,NS
198,198,230691.5938,2168871,NP
199,199,233790,2157759,NP
200,200,228027.75,2178478.5,NS
201,201,232161,2165296,NS
202,202,233710.2031,2159740,NS
203,203,230932.5469,2171530,NS
204,204,229204.0469,2175712.5,NS
205,205,231704.2969,2169379,NS
206,206,228589.5938,2180985,NS
207,207,233630.4063,2161721,NP
208,208,230881.4063,2172928,NS
209,209,232717,2169887,NP
210,210,229260,2178252,NP
211,211,233160.0938,2167710.5,NS
212,212,232665.8438,2171285,NS
213,213,230937.3438,2175467.5,NS
214,214,229821.8438,2180758.5,NS
215,215,234629.5,2164135.5,NS
216,216,232614.7031,2172683,NP
217,217,231090.2969,2177011.5,NS
218,218,234172.7969,2168218.5,NS
219,219,236591.2969,2158349,NS
220,220,230383.7031,2183265,NP
221,221,232767.6563,2174227,NS
222,222,236511.5,2160330,NS
223,223,232920.5938,2175771,NP
224,224,234506.5938,2170734,NS
225,225,236558,2162439.5,NS
226,226,235628.5938,2166550,NP
227,227,234455.4531,2172132,NS
228,228,234156,2173392,NS
229,229,234308.9375,2174936,NS
230,230,235962.4063,2169065.5,NS
231,231,231853.5,2178636.5,NS
232,232,232476.9531,2184016,NS
233,233,237557.0938,2164854,NS
234,234,232415.3438,2181143,NS
235,235,239392.5938,2158939,NP
236,236,236296.2031,2171581,NP
237,237,235996.75,2172841,NS
238,238,235697.2969,2174101,NP
239,239,233683.7969,2177396,NS
240,240,239439.0938,2161048.5,NS
241,241,237298.7969,2165984.5,NS
242,242,239485.5938,2163158,NP
243,243,235072.1563,2176561,NS
244,244,234570.2031,2184767,NP
245,245,234508.5938,2181894,NS
246,246,239227.2969,2164288.5,NS
247,247,234447,2179021,NP
248,248,239415.0469,2168933,NS
249,249,235514.75,2184219.5,NS
250,250,235453.1563,2181346.5,NS
251,251,238969,2165419,NP
252,252,238474,2175506.5,NS
253,253,236459.2969,2183672,NP
254,254,239748.8438,2171448.5,NS
255,255,239449.4063,2172708.5,NS
256,256,239915.8438,2174069,NS
257,257,237848.8438,2177966.5,NS
258,258,238855,2180292,NS
259,259,241085.25,2168367.5,NS
260,260,241250.7031,2176912,NP
261,261,243201.5,2171316,NP
262,262,242210.3125,2176892,NS
263,263,239433.5938,2175486.5,NS
264,264,243667.9531,2172676.5,NS
265,265,243169.9063,2176872,NP
266,266,243652.1563,2175454.5,NS
267,267,244134.4063,2174037,NP
