Nro,Nodo,Coord_X,Coord_Y,Tipo_Nodos
201,201,3488617.463,3587792.675,NS
202,202,3496872.771,3583677.064,NS
203,203,3504638.727,3580316.552,NS
204,204,3512428.145,3578182.261,NS
205,205,3520661.667,3574719.224,NS
206,206,3531254.806,3572120.319,NS
207,207,3540465.357,3571719.174,NS
208,208,3552591.912,3571095.078,NS
209,209,3565147.488,3570109.708,NS
210,210,3578403.576,3570076.347,NS
211,211,3589817.889,3570732.176,NS
212,212,3396252.194,3595729.343,NP
213,213,3400466.993,3598483.661,NS
214,214,3404681.792,3601237.979,NP
215,215,3409124.509,3602858.023,NS
216,216,3413567.226,3604478.066,NP
217,217,3417587.624,3604705.084,NS
218,218,3421608.023,3604932.102,NP
219,219,3427584.156,3604613.138,NS
220,220,3433560.288,3604294.174,NP
221,221,3440062.642,3603866.176,NS
222,222,3446564.996,3603438.179,NP
223,223,3453001.992,3602622.054,NS
224,224,3459438.987,3601805.93,NP
225,225,3463097.399,3601805.93,NS
226,226,3466755.811,3601805.93,NP
227,227,3472026.405,3600078.48,NS
228,228,3477296.999,3598351.03,NP
229,229,3482654.737,3597430.755,NS
230,230,3488012.476,3596510.479,NP
231,231,3496267.784,3592394.868,NS
232,232,3504523.092,3588279.258,NP
233,233,3512312.51,3586144.966,NS
234,234,3520101.928,3584010.675,NP
235,235,3530695.067,3581411.77,NS
236,236,3541288.206,3578812.865,NP
237,237,3553414.761,3578188.77,NS
238,238,3565541.316,3577564.675,NP
239,239,3578797.404,3577531.314,NS
240,240,3592053.492,3577497.953,NP
241,241,3384904.916,3600038.61,NS
242,242,3391194.435,3604380.424,NS
243,243,3395409.235,3607134.743,NS
244,244,3401472.512,3609273.102,NS
245,245,3408150.832,3610666.942,NS
246,246,3412593.548,3612286.986,NS
247,247,3417879.225,3612545.737,NS
248,248,3421899.624,3612772.755,NS
249,249,3427552.314,3613069.749,NS
250,250,3433528.447,3612750.785,NS
251,251,3440597.243,3612492.034,NS
252,252,3447099.597,3612064.036,NS
253,253,3452951.716,3611697.065,NS
254,254,3459388.711,3610880.941,NS
255,255,3463538.152,3609393.528,NS
256,256,3467196.564,3609393.528,NS
257,257,3473078.848,3608880.093,NS
258,258,3478349.441,3607152.644,NS
259,259,3484231.726,3604656.263,NS
260,260,3489589.464,3603735.987,NS
261,261,3498562.042,3601338.876,NS
262,262,3506817.351,3597223.265,NS
263,263,3513891.174,3595045.035,NS
264,264,3521680.592,3592910.743,NS
265,265,3532337.414,3590641.38,NS
266,266,3542930.553,3588042.476,NS
267,267,3555025.267,3587352.472,NS
268,268,3567151.822,3586728.377,NS
269,269,3577974.555,3586628.294,NS
270,270,3591230.642,3586594.933,NS
271,271,3373557.638,3604347.877,NP
272,272,3379847.157,3608689.691,NS
273,273,3386136.677,3613031.506,NP
274,274,3392199.954,3615169.866,NS
275,275,3398263.232,3617308.226,NP
276,276,3404941.551,3618702.065,NS
277,277,3411619.871,3620095.905,NP
278,278,3416905.548,3620354.656,NS
279,279,3422191.224,3620613.408,NP
280,280,3427843.915,3620910.402,NS
281,281,3433496.606,3621207.396,NP
282,282,3440565.402,3620948.645,NS
283,283,3447634.198,3620689.894,NP
284,284,3453486.317,3620322.923,NS
285,285,3459338.435,3619955.951,NP
286,286,3463487.876,3618468.538,NS
287,287,3467637.316,3616981.125,NP
288,288,3473519.6,3616467.691,NS
289,289,3479401.884,3615954.257,NP
290,290,3485284.168,3613457.876,NS
291,291,3491166.453,3610961.495,NP
292,292,3500139.031,3608564.384,NS
293,293,3509111.609,3606167.273,NP
294,294,3516185.433,3603989.043,NS
295,295,3523259.257,3601810.812,NP
296,296,3533916.079,3599541.449,NS
297,297,3544572.901,3597272.086,NP
298,298,3556667.614,3596582.083,NS
299,299,3568762.328,3595892.079,NP
300,300,3579585.06,3595791.996,NS
301,301,3590407.793,3595691.913,NP
302,302,3360502.654,3609213.704,NS
303,303,3369988.047,3614753.26,NS
304,304,3376277.566,3619095.074,NS
305,305,3386706.47,3623463.741,NS
306,306,3392769.748,3625602.1,NS
307,307,3402987.494,3628662.364,NS
308,308,3409665.813,3630056.203,NS
309,309,3418325.005,3630214.058,NS
310,310,3423610.681,3630472.809,NS
311,311,3429263.372,3630769.804,NS
312,312,3441061.458,3631032.623,NS
313,313,3448130.254,3630773.872,NS
314,314,3453982.372,3630406.901,NS
315,315,3463305.206,3630091.192,NS
316,316,3467454.647,3628603.778,NS
317,317,3478232.131,3626598.049,NS
318,318,3484114.415,3626084.615,NS
319,319,3489996.699,3623588.234,NS
320,320,3502024.378,3618990.109,NS
321,321,3510996.957,3616592.998,NS
322,322,3520408.611,3613630.377,NS
323,323,3527482.435,3611452.146,NS
324,324,3535928.792,3610236.504,NS
325,325,3546585.614,3607967.141,NS
326,326,3558417.217,3605044.39,NS
327,327,3570511.93,3604354.386,NS
328,328,3579583.385,3604157.475,NS
329,329,3590406.117,3604057.392,NS
330,330,3347447.67,3614079.53,NP
331,331,3356933.063,3619619.087,NS
332,332,3366418.456,3625158.643,NP
333,333,3376847.36,3629527.309,NS
334,334,3387276.264,3633895.975,NP
335,335,3397494.01,3636956.238,NS
336,336,3407711.755,3640016.501,NP
337,337,3416370.947,3640174.356,NS
338,338,3425030.138,3640332.211,NP
339,339,3436828.224,3640595.03,NS
340,340,3448626.31,3640857.85,NP
341,341,3457949.144,3640542.141,NS
342,342,3467271.977,3640226.432,NP
343,343,3478049.462,3638220.702,NS
344,344,3488826.946,3636214.973,NP
345,345,3500854.625,3631616.848,NS
346,346,3512882.304,3627018.723,NP
347,347,3522293.959,3624056.102,NS
348,348,3531705.613,3621093.481,NP
349,349,3540151.97,3619877.838,NS
350,350,3548598.327,3618662.195,NP
351,351,3560429.93,3615739.444,NS
352,352,3572261.533,3612816.694,NP
353,353,3581332.987,3612619.782,NS
354,354,3590404.441,3612422.871,NP
355,355,3345235.529,3627607.016,NS
356,356,3354720.922,3633146.573,NS
357,357,3367839.589,3639738.222,NS
358,358,3378268.493,3644106.888,NS
359,359,3389540.357,3647641.528,NS
360,360,3399758.103,3650701.792,NS
361,361,3412841.576,3654280.371,NS
362,362,3421500.768,3654438.226,NS
363,363,3437776.763,3654701.045,NS
364,364,3449574.849,3654963.865,NS
365,365,3458897.683,3654648.156,NS
366,366,3475225.63,3652121.669,NS
367,367,3486003.114,3650115.94,NS
368,368,3501707.64,3646240.366,NS
369,369,3513735.319,3641642.241,NS
370,370,3524383.762,3638423.309,NS
371,371,3533795.416,3635460.688,NS
372,372,3543656.203,3630764.108,NS
373,373,3552102.559,3629548.465,NS
374,374,3561055.027,3627234.349,NS
375,375,3572886.63,3624311.599,NS
376,376,3581891.05,3621881.126,NS
377,377,3590962.504,3621684.215,NS
378,378,3343023.388,3641134.502,NP
379,379,3356142.055,3647726.151,NS
380,380,3369260.722,3654317.8,NP
381,381,3380532.586,3657852.441,NS
382,382,3391804.45,3661387.082,NP
383,383,3404887.924,3664965.661,NS
384,384,3417971.397,3668544.241,NP
385,385,3434247.393,3668807.06,NS
386,386,3450523.388,3669069.88,NP
387,387,3466851.335,3666543.393,NS
388,388,3483179.283,3664016.906,NP
389,389,3498883.808,3660141.332,NS
390,390,3514588.334,3656265.758,NP
391,391,3525236.777,3653046.827,NS
392,392,3535885.219,3649827.896,NP
393,393,3545746.006,3645131.315,NS
394,394,3555606.792,3640434.735,NP
395,395,3564559.26,3638120.619,NS
396,396,3573511.728,3635806.504,NP
397,397,3582516.147,3633376.031,NS
398,398,3591520.567,3630945.559,NP
399,399,3347063.897,3656704.334,NS
400,400,3360182.564,3663295.983,NS
401,401,3371446.049,3676506.132,NS
402,402,3382717.913,3680040.773,NS
403,403,3395801.387,3683619.353,NS
404,404,3421613.051,3685962.761,NS
405,405,3437889.046,3686225.58,NS
406,406,3462651.619,3685430.612,NS
407,407,3478979.566,3682904.125,NS
408,408,3494154.519,3674872.256,NS
409,409,3509859.045,3670996.682,NS
410,410,3531398.93,3675266.079,NS
411,411,3542047.373,3672047.148,NS
412,412,3549885.391,3660992.445,NS
413,413,3559746.177,3656295.865,NS
414,414,3568698.645,3653981.749,NS
415,415,3583134.541,3645474.69,NS
416,416,3592138.961,3643044.217,NS
417,417,3351104.406,3672274.165,NP
418,418,3362367.891,3685484.315,NS
419,419,3373631.376,3698694.464,NP
420,420,3399443.04,3701037.873,NS
421,421,3425254.704,3703381.281,NP
422,422,3450017.277,3702586.312,NS
423,423,3474779.85,3701791.343,NP
424,424,3489954.803,3693759.475,NS
425,425,3505129.755,3685727.606,NP
426,426,3526669.641,3689997.003,NS
427,427,3548209.526,3694266.4,NP
428,428,3556047.544,3683211.697,NS
429,429,3563885.562,3672156.995,NP
430,430,3578321.459,3663649.935,NS
431,431,3592757.355,3655142.875,NP
